Date ,IPOName,Issue_Size,Subscription_QIB,Subscription_HNI,Subscription_RII,Subscription_Total,Issue_Price,Listing_Gains_Percent
01/10/10,Tirupati Inks,51.5,1.78,23.18,12.59,8.77,43,-14.77
05/10/10,Sasta Sundar,147.5,5.91,35.88,11.04,12.2,118,-6.02
06/10/10,Eros Intl,350,25.79,73.4,11.95,26.51,175,8.6
06/10/10,Career Point,115,47.45,101.93,31.74,47.39,310,103.98
08/10/10,Orient Green,900,2.09,0.64,0.18,1.07,47,-4.47
08/10/10,Ramky Infra,530,4.52,1.45,0.99,2.89,450,-13.92
08/10/10,Electrosteel St,0,5.86,28.58,6.19,8.23,11,2.27
12/10/10,Cantabil Retail,105,1.71,3.83,2.63,2.35,135,-22.41
12/10/10,Tecpro Systems,268.03,27.99,62.48,9.07,24.47,355,14.89
13/10/10,Va Tech Wabag,472.6,36.13,100.98,8.55,36.22,1310,-73.9
14/10/10,Sea TV Network,50.2,1.66,40.94,7.45,9.58,100,6
14/10/10,Ashoka Buildcon,225,25.52,13.91,3.46,15.94,324,-77.37
14/10/10,Bedmutha Ind,91.8,0.67,29.19,8.51,7.69,102,77.25
18/10/10,Jupiter Wagons,172.41,3.68,0.34,0.38,2.07,127,-11.61
20/10/10,Oberoi Realty,1028.61,22.15,3.61,0.94,12.13,260,8.83
27/10/10,BS Limited,197.36,0.52,3.16,1.04,1.1,248,-92.37
27/10/10,Gyscoal Alloys,54.67,1.54,33.44,8,8.59,71,-88.51
27/10/10,Prestige Estate,1200,4.32,0.24,0.08,2.26,183,5.22
04/11/10,Coal India,15475,24.7,25.4,2.31,15.28,245,39.73
16/11/10,Gravita India,45,6.04,182.52,37.34,42.88,125,-66.34
06/12/10,RPP Infra Proj,48.75,0.16,7.27,5.6,2.97,75,-30.67
15/12/10,MOIL,1260,0,0,0,0,375,-37.8
20/12/10,Claris Life,300,1.31,2.03,1.6,1.5,228,-9.71
23/12/10,A2Z Infra Eng,675,0.7,4.25,0.33,0.96,400,-17.78
30/12/10,Punjab & Sind,480,49.8,22.91,8.38,47.2,120,5.87
20/01/11,C Mahendra Expo,165,1.02,3.92,4.82,2.78,110,-49.61
10/02/11,Omkar Special,79.38,0.82,5.27,9.9,4.67,98,-52.86
10/03/11,Acropetal Tech,170,1.12,2,1.21,1.28,90,9.39
11/03/11,Fineotex Chem,30.32,0,0.22,4.38,1.57,70,-79.87
11/03/11,Sudar Ind,69.98,0.17,4.47,2.27,1.55,77,46.88
24/03/11,Lovable Lingeri,93.28,21.87,99.87,20.84,35.21,205,21.56
30/03/11,PTC India Fin,438.76,2.85,0.22,1.18,1.7,28,-11.07
08/04/11,Shilpi Cable,55.88,1.04,6.39,5.74,3.48,69,-65.51
06/05/11,Muthoot Finance,901.25,25.01,60.94,8.5,24.55,175,0.71
09/05/11,Paramount Print,45.83,0.33,3.28,9.31,3.92,35,-23.86
10/05/11,Future Consumer,750,0.26,7.81,0.61,1.52,10,-17
12/05/11,Servalakshmi,60,0.34,4.21,1.9,1.47,29,-34.48
13/05/11,Innoventive Ind,219.58,0.85,1.94,1.48,1.24,117,-20
23/05/11,Sanghvi Forging,36.9,0,1.82,2.93,1.3,85,31.47
27/05/11,Dr Datson Labs,120,0.14,2.65,1.84,1.11,234,33.01
14/06/11,VMS Industries,25.75,0,1.11,3.41,1.36,40,-28.75
22/06/11,Timbor Home,23.25,0.65,3.22,14.22,5.78,63,44.76
07/07/11,Birla Pacific,65.18,1.04,0.17,1.82,1.18,10,153.5
07/07/11,Rushil Decor,40.64,0.23,1.35,6.57,2.62,72,45.12
13/07/11,Kridhan Infra,34.75,0.03,1.37,4.18,1.68,108,-87.69
28/07/11,Bharatiya Glob,55.1,0,1.94,5.06,2.06,82,-62.26
04/08/11,Inventure Grow,81.9,0.25,9.49,8.66,4.58,117,-95.56
12/08/11,L&T Finance,1245,1.93,6.18,9.61,5.34,52,-10.65
26/08/11,Tree House,112.06,1.02,1.68,2.76,1.85,135,-13.67
05/09/11,Brooks Labs,63,0,2.82,3.36,1.6,100,-49.8
08/09/11,TD Power System,227,6.52,0.32,0.36,2.72,256,-78.53
16/09/11,SRS,227.5,0.74,5,0.29,1.22,58,-70.98
26/09/11,PG Electroplast,120.65,0.98,1.84,1.64,1.34,210,96.02
04/10/11,Setubandhan Inf,60,0.31,2.76,4.68,2.21,138,-83.37
17/10/11,Onelife Capital,36.85,1.02,0.93,2.32,1.51,110,32.64
19/10/11,Taksheel Solut,82.5,0.24,4.7,6.18,2.99,150,-61.23
19/10/11,Flexituff Ventu,104.63,0.51,1.55,1.55,1.03,155,7.35
20/10/11,Ujaas Energy,93,1.03,1.56,2.35,1.57,186,-82.92
24/10/11,Vaswani Ind,49,0.16,11.29,6.82,4.16,49,-63.78
02/11/11,Indo Thai Secu,33.6,0,0.02,3.31,1.16,74,-68.92
09/03/12,MCX India,663.31,49.12,150.35,24.14,54.13,1032,25.68
28/03/12,Olympic Cards,25,0,3.43,1.36,0.99,30,-5
12/04/12,NBCC (India),127.2,7.07,1.7,3.4,4.93,106,-93.9
12/04/12,MT Educare,99,6.01,8,2.17,4.8,80,12.94
09/05/12,Tribhovandas,210,1.29,1.91,0.68,1.15,120,-7.33
30/05/12,Speciality Rest,181.96,4.68,2.19,0.55,2.54,150,7.1
18/07/12,VKS Projects,55,1.15,0.38,1.13,1.03,55,-97.15
06/12/12,Tara Jewels,0,1.49,3.1,2.05,1.98,230,-0.02
26/12/12,CARE Ratings,539.98,45.8,110.96,6.18,40.98,750,23.19
27/12/12,PC Jeweller,609.3,7.33,18.12,1.68,6.85,135,-44.81
28/12/12,INDUS TOWERS,4533.6,2.84,0.1,0.06,1.21,220,-13.09
01/04/13,Repco Home,270.38,3.39,0.35,0.51,1.65,172,-6.48
05/06/13,Just Dial,950,10.12,22.34,3.53,11.63,530,15.37
09/05/14,Wonderla,181.25,16.71,159.04,7.56,38.06,125,26.08
12/09/14,Snowman Logist,197.4,16.98,221.79,41.26,59.75,47,67.55
23/09/14,Sharda Crop,352,32.06,251.35,5.85,59.97,156,48.37
01/10/14,Shemaroo Ent,120,5.69,8.64,7.79,7.39,170,0.59
19/12/14,Monte Carlo,342.28,13.96,1.71,6.96,7.83,645,-12.19
19/03/15,Ortel Comm,240,1.01,0.09,0.39,0.75,181,-5
06/04/15,Imagicaaworld,467,1.17,0.49,1.37,1.11,180,6.25
09/04/15,Inox Wind,700,35.68,35.38,2.15,18.6,325,34.77
30/04/15,VRL Logistics,473.88,58.22,250.86,7.92,74.26,205,43.07
06/05/15,MEP Infra,324,1.02,1.51,0.97,1.11,63,-3.25
14/05/15,UFO Moviez,600,4.49,1.17,1.02,2.04,625,-4.19
26/05/15,PNC Infratech,488,4.51,0.65,0.28,1.56,378,-80.94
09/07/15,Manpasand Bever,400,1.99,0.38,1.16,1.4,320,-48.93
11/08/15,Syngene Intl,550,51.47,90.24,4.78,32.05,250,-37.92
26/08/15,Power Mech,273.22,27.53,133.22,3.42,38.12,640,-8.48
09/09/15,Navkar Corp,600,6.47,0.9,1.62,2.85,155,7.35
10/09/15,Shree Pushkar,70,0.97,2.09,1.54,1.34,65,-3.08
10/09/15,Pennar Eng,156.19,0,0.04,0.11,0.07,178,-11.52
16/09/15,Sadbhav Infra,425,3.04,1.66,1.69,2.24,103,3.06
21/09/15,Prabhat Dairy,300,0.88,1.42,0.34,0.77,115,1.17
02/11/15,Coffee Day,1150,4.39,0.54,0.9,1.82,328,-17.64
10/11/15,Interglobe Avi,3000,17.8,3.57,0.92,6.15,765,14.83
16/11/15,S H Kelkar,200,0,0,0,0,180,15.17
23/12/15,Alkem Lab,1349.6,57.19,129.96,3.17,44.29,1050,31.57
23/12/15,Dr Lal PathLab,638,63.56,61.28,4.24,33.41,550,49.85
06/01/16,Narayana Hruda,613,0.01,0.01,0.13,0.07,250,34.68
08/02/16,Precision Camsh,410,2.62,0.73,2.01,1.91,186,-4.7
12/02/16,TeamLease Ser.,273.68,26.97,185.24,10.61,66.02,850,20.23
18/02/16,Quick Heal Tech,450,4.34,36.69,3.82,10.8,321,-20.73
01/04/16,Bharat Wire Rop,70,1.01,2.02,2.08,1.21,45,0.89
21/04/16,Equitas Holding,2159,14.93,57.29,1.4,17.21,110,22.95
09/05/16,Thyrocare Techn,479.21,73.18,225.3,8.73,73.55,446,38.59
10/05/16,Ujjivan Financi,358.16,33.84,135.45,4.02,40.68,210,10.29
19/05/16,Parag Milk Food,764.3,1.15,3.08,2.12,1.83,215,15.26
01/07/16,Mahanagar Gas,1039.64,72.84,191.61,6.82,64.54,421,23.49
12/07/16,Quess Corp,400,59.02,392.21,31.23,143.99,317,58.68
21/07/16,L&T Infotech,1242,19.91,10.76,7.39,11.69,710,-1.74
01/08/16,Advanced Enzyme,60,94.03,393.1,11.67,116.02,896,-73.7
11/08/16,Dilip Buildcon,430,0,0,0,0,219,15.05
12/08/16,S P Apparels,215,1,0.45,0.54,0.66,268,10.07
31/08/16,RBL Bank,1100,85.08,198.06,5.7,69.62,225,33.02
23/09/16,L&T Technology,900,5.01,1.03,1.74,2.52,860,0.59
27/09/16,GNA Axles,130.41,17.18,217.47,11.84,54.88,207,12.78
29/09/16,ICICI Prudentia,6057,11.83,28.55,1.42,10.48,334,-10.88
04/10/16,HPL Electric &,361,5.77,22.2,3.31,8.06,202,-6.41
19/10/16,Endurance Techn,1161,1.7,0.13,0.82,0.92,472,37.22
07/11/16,PNB Housing Fin,3000,37.33,86.17,1.32,29.53,775,14.92
08/11/16,Varun Beverages,1114,4.94,0.42,0.82,1.86,445,-69.23
09/12/16,Sheela Foam,178.5,14.51,3.35,0.44,5.09,730,41.37
19/12/16,Laurus Labs,560.7,10.54,3.57,1.58,4.53,428,-77.55
03/02/17,BSE Limited,1243,48.64,159.03,6.48,51.22,806,-55.78
17/03/17,Music Broadcast,488.53,39.78,109.13,9.85,39.67,333,-82.07
21/03/17,Avenue Supermar,1870,144.61,277.74,7.3,104.48,299,114.3
31/03/17,CL Educate,238.95,3.65,0.21,1.63,1.9,500,-58.21
05/04/17,Shankara Buildi,232.96,51.62,90.68,15.35,41.88,460,37.57
09/05/17,S Chand and Co,325,44.27,204.65,6.07,59.49,670,0.87
19/05/17,HUDCO,1224,55.45,330.36,10.79,79.53,58,25
29/05/17,PSP Projects,211.68,8.38,10.39,6.47,8.58,210,-0.5
06/06/17,IndiGrid InvIT,2250,1.14,1.6,0,1.35,100,-4.92
27/06/17,Tejas Networks,326.69,2.16,0.48,3.1,1.88,257,2.45
29/06/17,Eris Life,1741.1,4.68,0.45,3.51,3.29,603,-0.32
30/06/17,CDSL,523.99,148.71,563.03,23.83,170.16,149,75.57
04/07/17,GTPL Hathway,484.8,1.48,2.48,0.99,1.53,170,0.97
10/07/17,AU Small Financ,1912.51,78.77,143.51,3.52,53.6,358,-24.41
25/07/17,Salasar Techno,35.87,0,487.18,58.59,277.28,108,-74.81
10/08/17,SIS,362.25,5.64,1.65,18.67,6.92,815,-53.58
11/08/17,Cochin Shipyard,1454,63.51,288.87,8.12,76.06,432,20.83
04/09/17,Apex Frozen,152.25,1.91,7.82,8.53,6.14,175,19.91
18/09/17,Dixon Technolog,599.28,134.66,345.62,9.46,117.27,1766,-67.24
18/09/17,Bharat Road Net,600.65,1.33,1.63,5.16,1.75,205,1.54
21/09/17,Matrimony.com,501.07,1.88,0.41,18.16,4.44,985,-8.51
25/09/17,Capacite Infra,400,131.32,638.05,17.57,183.03,250,36.96
27/09/17,ICICI Lombard,5700.94,8.93,0.83,1.23,2.98,661,3.11
03/10/17,SBI Life Insura,8400,12.56,0.7,0.81,3.55,700,1.14
05/10/17,Prataap Snacks,481.94,76.89,101.15,7.62,46.97,938,25.62
16/10/17,Godrej Agrovet,1157.31,150.96,236.04,7.67,95.41,460,29.47
23/10/17,IEX,1000.7,2.56,0.85,2.61,2.28,1650,-96.71
25/10/17,General Insuran,11372,2.25,0.22,0.63,1.38,912,-52.28
06/11/17,Nippon,1542,118.41,209.44,5.23,81.33,252,12.7
10/11/17,Mahindra Logist,829.36,15.61,2.07,6.11,7.9,429,0.03
14/11/17,Khadim India,493.06,2.45,0.18,2.34,1.9,750,-8.2
17/11/17,HDFC Life,8695.01,16.6,2.29,0.9,4.89,290,18.71
15/12/17,Shalby,504.8,4.34,0.42,2.98,2.82,248,-3.53
18/12/17,Future Supply,649.69,12.36,11.15,3.28,7.56,664,3.28
29/12/17,Astron Paper &,70,103.35,396.99,77.93,243.29,50,139.4
22/01/18,Apollo Micro Sy,156,101.93,958.07,40.19,248.51,275,65.13
29/01/18,Newgen Software,424.62,15.62,5.52,5.18,8.25,245,3.27
30/01/18,Amber Enterpris,600,174.99,519.26,11.65,165.42,859,44.03
08/02/18,Galaxy Surfacta,937.09,54.67,6.96,6,20,1480,14.74
26/02/18,Aster DM Health,980.14,2.1,0.55,1.18,1.31,190,-5.34
09/03/18,HG Infra Engg,457.7,8.37,4.97,3.08,4.98,270,0.02
23/03/18,Bharat Dynamics,960.94,1.5,0.5,1.41,1.3,428,-8.71
27/03/18,Bandhan Bank,4473,38.67,13.89,1.2,14.63,375,27.25
28/03/18,Hindustan Aeron,4229,1.73,0.03,0.39,0.99,1215,-7.13
04/04/18,Mishra Dhatu Ni,438.38,1.96,0.12,0.72,1.21,0,0
05/04/18,ICICI Securitie,4016,0.54,0.05,0.39,0.36,520,-14.44
21/05/18,Indostar Capita,1844,16.08,6.91,1.48,6.8,572,2.36
02/07/18,RITES,453.6,71.72,194.56,15.74,67.24,185,-8.02
02/07/18,Fine Organics,597.87,12.86,21.01,1.62,8.99,783,5.08
30/07/18,TCNS Clothing C,1121.98,13.47,5.08,0.67,5.27,716,-8.13
23/08/18,CreditAccess Gr,1126.44,5.52,0.98,0.88,2.22,422,-0.28
08/10/18,AAVAS Financier,1729.2,2.77,0.26,0.25,0.97,821,-5.83
04/02/19,Xelpmoc Design,23,1.24,7.69,2.64,3.25,66,-10.91
07/02/19,Chalet Hotels,1628.84,4.66,1.1,0.03,1.57,280,3.71
29/03/19,MSTC,213.81,1.13,2.15,2.95,1.46,128,-10.78
01/04/19,Embassy Office,4750,2.15,3.09,0.31,2.57,300,4.7
11/04/19,Rail Vikas,430.88,1.36,0.8,2.92,1.82,19,0.26
15/04/19,Metropolis,1200.18,8.88,3.03,2.21,5.84,880,9.04
08/05/19,Neogen,131.48,30.49,113.88,16.06,41.18,0,0
04/07/19,Indiamart Inter,474.12,30.83,62.13,14.07,36.21,973,33.87
20/08/19,Sterling Wilson,3125,1.02,0.89,0.3,0.85,780,-7.01
14/10/19,IRCTC,635.04,108.79,354.52,14.94,111.95,320,-54.46
04/12/19,CSB Bank,409.68,38.85,45.49,9.01,35.24,195,53.9
12/12/19,Ujjivan Small,750,110.72,473,49.09,165.68,37,51.08
30/12/19,Prince Pipes,500,3.54,1.21,1.89,2.21,178,-6.4
16/03/20,SBI Card,10286.2,57.18,45.23,2.5,26.54,755,-9.51
23/07/20,Rossari,496.25,2.75,4.34,2.51,2.97,425,74.67
17/09/20,Happiest Minds,702.02,77.43,351.46,70.94,150.98,166,123.49
21/09/20,Route,600,89.76,192.81,12.67,73.3,350,86.03
01/10/20,Chemcon Special,318,113.54,449.14,41.21,149.33,340,72
01/10/20,CAMS,2244.33,73.18,111.85,5.55,46.99,1230,13.95
05/10/20,Angel One,600,5.74,0.69,4.31,3.94,306,-9.85
12/10/20,UTI AMC,2159.88,3.34,0.93,2.32,2.31,554,-13.97
12/10/20,Mazagon Dock,443.69,89.71,678.88,35.63,157.41,145,19.31
02/11/20,Equitas Bank,517.6,3.91,0.22,2.08,1.95,33,-0.76
20/11/20,Gland,6479.55,6.4,0.51,0.24,2.06,1500,21.36
14/12/20,Restaurant Bran,796.5,86.64,354.11,68.15,156.65,60,130.67
24/12/20,Bectors Food,540.54,176.85,620.86,29.33,198.02,288,106.79
01/01/21,Antony Waste,300.53,0.64,0.28,7.22,3.85,315,29.29
29/01/21,IRFC,4633,0.89,0.52,1.59,1.16,26,-4.42
02/02/21,Indigo Paints,1170.56,96.21,115.76,6.5,54.84,1490,109.31
03/02/21,Home First,1153.72,52.53,39,6.59,26.66,518,1.81
05/02/21,Stove Kraft,412.63,8.02,32.72,26.04,18.03,385,15.83
25/02/21,Nureca,100,0.24,17.1,74.29,17.98,400,66.66
26/02/21,Railtel,819.24,22.03,51.4,7.08,20.68,94,29.15
05/03/21,Heranba,60,25.98,108.72,4.82,33.13,627,29.55
15/03/21,MTAR Tech,596.41,52.01,522.35,12.78,133.18,575,88.22
19/03/21,Easy Trip,510,0,2.79,14.48,3.39,187,-44.3
24/03/21,Anupam Rasayan,760,30.8,62.06,4.62,23.86,555,-5.24
25/03/21,Laxmi Organic,600,1.13,0.73,4.41,2.68,130,26.62
25/03/21,Craftsman,823.7,0.56,0.05,1.04,0.69,1490,-3.83
26/03/21,Suryoday Small,582.34,2.18,1.31,3.09,2.37,305,-9.44
26/03/21,Kalyan Jeweller,1175,1.18,0.97,1.47,1.28,87,-13.45
30/03/21,Nazara,582.91,52.82,148.42,34.49,75.04,1101,-28.39
07/04/21,Barbeque Nat,453.6,0,0,0,0,500,18.08
19/04/21,Macrotech Dev,2500,3.05,1.44,0.4,1.36,486,-4.7
14/05/21,PowerGrid InvIT,7734.99,0,0,0,0,100,2.98
24/06/21,Sona BLW,5550,1.57,0.22,0.66,1.04,291,24.69
24/06/21,Shyam Metalics,909,62.18,172.51,5.29,56.56,306,22.83
28/06/21,Dodla Dairy,521,84.88,73.26,11.34,45.62,428,42.31
05/07/21,Krishna Inst.,2146,5.26,1.89,2.9,3.86,825,32.95
07/07/21,India Pesticide,800,2.64,1.36,4.4,3.25,296,13.33
19/07/21,G R Infra,963.28,93.18,73.01,4.89,43.48,837,108.7
19/07/21,Clean Science,1546,156.37,206.43,9,93.41,900,76.13
23/07/21,Zomato,9375,51.79,32.96,7.45,38.25,76,65.59
29/07/21,Tatva Chintan,500,2.55,9.78,13.36,9.5,1083,113.32
06/08/21,Glenmark Life,1513,0.98,0.87,4.61,2.78,720,3.92
09/08/21,Rolex Rings,732.27,143.58,360.11,24.49,130.44,900,29.62
16/08/21,Windlas Biotech,405.95,24.4,15.73,24.27,22.47,460,-11.59
16/08/21,Exxaro Tiles,161.09,17.67,5.36,40.1,22.68,120,10.21
16/08/21,Krsnaa Diagnost,1222,49.83,116.3,42.04,64.4,954,3.85
16/08/21,Devyani Int,1858,95.27,213.06,39.52,116.71,90,37.06
20/08/21,CarTrade Tech,2998,0.55,0.09,0.81,0.58,1618,-7.29
23/08/21,Nuvoco Vistas,5089.29,0.1,0.02,0.24,0.15,570,-6.79
24/08/21,CHEMPLAST SANMA,3929.91,2.7,1.03,2.29,2.17,541,-1.13
06/09/21,APTUS VALUE,2790,32.41,33.91,1.35,17.2,353,5.96
14/09/21,Vijaya Diagnost,1895.04,13.07,1.32,1.09,4.54,531,16.63
14/09/21,AMI Organics,571.96,86.64,154.81,13.36,64.54,610,53.2
24/09/21,Sansera Eng,1282,26.47,11.37,3.15,11.47,744,10.04
01/10/21,Paras Defence,181.13,90.48,435.14,61.42,150.07,175,185
11/10/21,ABSL AMC,2768,4.1,2.6,1.68,2.43,712,-1.73
10/11/21,FSN E-Co Nykaa,5375,91.18,112.02,12.24,81.78,1125,96.15
12/11/21,Fino Payments,1209,1.65,0.21,5.92,2.03,577,-5.5
15/11/21,PB Fintech,6273.5,9.83,2.58,1.67,6.48,980,22.74
15/11/21,Sigachi Ind,0,42.15,78.82,41.26,49.56,163,270.4
15/11/21,SJS Enterprises,816.57,1.42,2.32,1.38,1.59,542,-5.93
18/11/21,One 97 Paytm,18915.9,2.79,0.24,1.66,1.89,2150,-27.25
18/11/21,Sapphire Foods,2073,3.11,2.34,5.25,3.29,1180,3.06
23/11/21,Latent View,622.11,145.48,850.66,119.44,326.49,197,148.02
26/11/21,Tarsons Product,1030.22,1.06,3.4,2.49,2.27,662,26.89
10/12/21,Star Health,7318.15,1.03,0.19,1.1,0.79,900,0.76
13/12/21,Tega Industries,619.23,215.45,666.19,29.44,219.04,453,60.15
14/12/21,Anand Rathi,660,2.5,25.42,7.76,9.78,550,6.09
17/12/21,Rategain Travel,1354,8.42,42.04,8.08,17.41,425,-19.88
20/12/21,Shriram Prop,600,1.85,4.82,12.72,4.6,118,-15.76
21/12/21,C. E. Info Syst,1039.61,196.36,424.69,15.2,154.71,1033,35
22/12/21,Metro Brands,1376.63,8.49,3.02,1.13,3.64,500,-1.29
24/12/21,Data Patterns,601.2,190.86,254.22,23.14,119.62,585,29.03
27/12/21,HP Adhesives,125.96,1.82,19.04,81.24,20.96,274,22.24
28/12/21,Supriya Lifesci,700,31.83,161.22,56.01,71.51,274,42.46
31/12/21,CMS Info System,1100,1.98,1.45,2.15,1.95,216,9.91
31/01/22,AGS Transact,716.87,2.68,25.61,3.08,7.79,175,-7.83
08/02/22,Adani Wilmar,3600,5.73,56.3,3.92,17.37,230,15.3
16/02/22,Vedant Fashions,3149,7.49,1.07,0.39,2.57,866,7.95
07/04/22,Uma Exports,60,0,0,0,0,68,23.53
11/04/22,Veranda Learn,200,1.61,2.09,5.68,2.24,137,17.08
13/04/22,Hariom Pipe,130.05,0.7,2.68,6.92,3.57,153,46.86
09/05/22,Campus Active,1400.14,84.22,10.68,4.73,28.55,292,29.66
10/05/22,Rainbow Child,1595.59,16.4,1.37,0.71,5.26,542,-16.96
17/05/22,LIC India,21000,1.7,1.39,1.14,1.64,949,-7.75
20/05/22,Prudent Advisor,538.61,1.23,0.74,0.61,0.81,630,-10.68
24/05/22,Venus Pipes,165.42,6.01,6.59,10.9,8.58,326,7.9
24/05/22,Delhivery,5235,0.47,0.27,0.31,0.39,487,10.32
31/05/22,Ethos,472.29,0.98,0.76,0.32,0.61,878,-8.24
01/06/22,eMudhra,412.79,0,0.01,0.44,0.23,256,1.11
03/06/22,Aether Ind,808.04,8,1.33,0.59,2.91,642,20.99
26/08/22,Syrma SGS,840.13,42.42,7.13,2.84,15.59,220,42.3
06/09/22,Dreamfolks Serv,562.1,27.48,14.18,24.19,23.25,326,41.92
15/09/22,TMB,792,0.51,1.77,3.44,1.39,525,-3.15
26/09/22,Harsha Engineer,755,113.82,40.36,12.44,47.19,330,47.24
17/10/22,Electronics Mar,500,58.81,15.39,8.27,24.23,59,43.14
